1750a						1750a-unknown-none
mips64vr5900el-elf				mips64vr5900el-unknown-elf
mips64vr5900-elf				mips64vr5900-unknown-elf
mips64vr5900el					mips64vr5900el-unknown-elf
mips64vr5900					mips64vr5900-unknown-elf
mips64vrel					mips64vrel-unknown-elf
mips64vr					mips64vr-unknown-elf
mipsbe						mipsbe-unknown-elf
mipseb						mipseb-unknown-elf
mipsel						mipsel-unknown-elf
mipsisa32el					mipsisa32el-unknown-elf
mipsisa32					mipsisa32-unknown-elf
mipsisa32r2el					mipsisa32r2el-unknown-elf
mipsisa32r2					mipsisa32r2-unknown-elf
mipsisa32r6el-elf				mipsisa32r6el-unknown-elf
mipsisa32r6-elf					mipsisa32r6-unknown-elf
mipsisa32r6el					mipsisa32r6el-unknown-elf
mipsisa32r6					mipsisa32r6-unknown-elf
mipsisa64el					mipsisa64el-unknown-elf
mipsisa64					mipsisa64-unknown-elf
mipsisa64r2el					mipsisa64r2el-unknown-elf
mipsisa64r2					mipsisa64r2-unknown-elf
mipsisa64r6el-elf				mipsisa64r6el-unknown-elf
mipsisa64r6-elf					mipsisa64r6-unknown-elf
mipsisa64r6el					mipsisa64r6el-unknown-elf
mipsisa64r6					mipsisa64r6-unknown-elf
mipsisa64sb1el					mipsisa64sb1el-unknown-elf
mipsisa64sb1					mipsisa64sb1-unknown-elf
mipsisa64sr71kel				mipsisa64sr71kel-unknown-elf
mipsisa64sr71k					mipsisa64sr71k-unknown-elf
mipsle						mipsle-unknown-elf
mips						mips-unknown-elf
mipsr5900el					mipsr5900el-unknown-elf
mipsr5900					mipsr5900-unknown-elf
mips-sde-elf					mips-sde-elf
mipstx39el					mipstx39el-unknown-elf
mipstx39					mipstx39-unknown-elf
mmix-elf					mmix-knuth-elf
mmix						mmix-knuth-mmixware
mn10200						mn10200-unknown-none
mn10300						mn10300-unknown-none
moxiebox					moxie-unknown-moxiebox
moxie-elf					moxie-unknown-elf
moxie						moxie-unknown-none
ms1-elf						mt-unknown-elf
ms1						mt-unknown-none
msp430						msp430-unknown-none
msys						i686-pc-msys
mt-elf						mt-unknown-elf
mt						mt-unknown-none
nacl						le32-unknown-nacl
nds32be						nds32be-unknown-none
nds32-elf					nds32-unknown-elf
nds32le-elf					nds32le-unknown-elf
nds32le						nds32le-unknown-none
nds32						nds32-unknown-none
nfp-elf						nfp-unknown-elf
nfp						nfp-unknown-none
nios2eb-elf					nios2eb-unknown-elf
nios2eb						nios2eb-unknown-none
nios2el-elf					nios2el-unknown-elf
nios2-elf					nios2-unknown-elf
nios2el						nios2el-unknown-none
nios2						nios2-unknown-none
nios-elf					nios-unknown-elf
nios						nios-unknown-none
ns16k						ns16k-unknown-none
ns32k						ns32k-unknown-none
nsv-tandem-nsk					nsv-tandem-nsk
nsx-tandem-nsk					nsx-tandem-nsk
nvptx						nvptx-unknown-none
open8-elf					open8-unknown-elf
open8						open8-unknown-none
openrisc-linux					or32-unknown-linux-gnu
or1k64-unknown-linux				or1k64-unknown-linux-gnu
or1k-company-elf				or1k-company-elf
or1k-company-linux				or1k-company-linux-gnu
or1k-elf					or1k-unknown-elf
or1k-linux-gnu					or1k-unknown-linux-gnu
or1k-linux					or1k-unknown-linux-gnu
or1k-linux-uclibc				or1k-unknown-linux-uclibc
or1knd-company-elf				or1knd-company-elf
or1knd-company-linux				or1knd-company-linux-gnu
or1knd-elf					or1knd-unknown-elf
or1knd-linux-gnu				or1knd-unknown-linux-gnu
or1knd-linux					or1knd-unknown-linux-gnu
or1knd-linux-uclibc				or1knd-unknown-linux-uclibc
or1knd						or1knd-unknown-none
or1k						or1k-unknown-none
or32-linux					or32-unknown-linux-gnu
or32						or32-unknown-coff
orion						orion-highlevel-bsd
os400						powerpc-ibm-os400
ose68k						m68k-ericsson-ose
ose						m68k-ericsson-ose
parisc						hppa-unknown-linux-gnu
pc98						i386-pc-none
pc98-freebsd					i386-pc-freebsd
pdp10						pdp10-unknown-tops20
pdp11						pdp11-dec-none
picochip					picochip-unknown-none
pjl						pjl-unknown-none
pj						pj-unknown-none
pmin						mips-dec-ultrix4.2
pmax						mips-dec-ultrix4.2
powerpc64le					powerpc64le-unknown-none
powerpc64					powerpc64-unknown-none
powerpc-bluegene				powerpc-ibm-cnk
powerpc-cnk					powerpc-ibm-cnk
powerpc-elf-lynxos5				powerpc-elf-lynxos5
powerpc-elf-lynxos				powerpc-elf-lynxos
powerpc-haiku					powerpc-unknown-haiku
powerpcle					powerpcle-unknown-none
powerpc-pikeos					powerpc-unknown-elf
powerpc						powerpc-unknown-none
powerpc-sysgo-pikeos				powerpc-sysgo-elf
powerpc-xcoff-lynxos178				powerpc-xcoff-lynxos178
ppcbe-elf					powerpc-unknown-elf
ppcbe-none-elf					powerpc-none-elf
ppc-beos					powerpc-be-beos
ppcbe						powerpc-unknown-none
ppc-elf						powerpc-unknown-elf
ppcle-elf					powerpcle-unknown-elf
ppcle-none-elf					powerpcle-none-elf
ppcle						powerpcle-unknown-none
ppc-none-elf					powerpc-none-elf
ppc						powerpc-unknown-none
pru-elf						pru-unknown-elf
pru						pru-unknown-elf
pyramid						pyramid-unknown-none
rdos32						i386-pc-rdos
rdos64						x86_64-pc-rdos
rdos						x86_64-pc-rdos
riscv32-company-elf				riscv32-company-elf
riscv32-company-hcos				riscv32-company-hcos
riscv32-elf					riscv32-unknown-elf
riscv32-linux					riscv32-unknown-linux-gnu
riscv32						riscv32-unknown-none
riscv64-company-elf				riscv64-company-elf
riscv64-elf					riscv64-unknown-elf
riscv64-hcos					riscv64-unknown-hcos
riscv64-linux					riscv64-unknown-linux-gnu
riscv64						riscv64-unknown-none
riscv-company-elf				riscv-company-elf
riscv-company-hcos				riscv-company-hcos
riscv-elf					riscv-unknown-elf
riscv-linux					riscv-unknown-linux-gnu
riscv						riscv-unknown-none
rl78-linux					rl78-unknown-linux-gnu
rl78						rl78-unknown-none
roadrunner					i386-sun-sunos4.0.2
romp						romp-ibm-aix
rs6000						rs6000-ibm-aix
rx-linux					rx-unknown-linux-gnu
rx						rx-unknown-none
s12z						s12z-unknown-none
s390-ibm-zvmoe					s390-ibm-zvmoe
score-elf					score-unknown-elf
score						score-unknown-elf
sde-elf						mipsisa32-sde-elf
sequent-ptx					i386-sequent-ptx
sh1-elf						sh1-unknown-elf
sh1le-elf					sh1le-unknown-elf
sh1						sh1-unknown-none
sh2aeb-elf					sh2aeb-unknown-elf
sh2aeb						sh2aeb-unknown-none
sh2a-elf					sh2a-unknown-elf
sh2a						sh2a-unknown-none
sh2eb-elf					sh2eb-unknown-elf
sh2eb						sh2eb-unknown-none
sh2e-elf					sh2e-unknown-elf
sh2ele-elf					sh2ele-unknown-elf
sh2ele						sh2ele-unknown-none
sh2-elf						sh2-unknown-elf
sh2e						sh2e-unknown-none
sh2le-elf					sh2le-unknown-elf
sh2le						sh2le-unknown-none
sh2						sh2-unknown-none
sh3eb-elf					sh3eb-unknown-elf
sh3e-elf					sh3e-unknown-elf
sh3ele-elf					sh3ele-unknown-elf
sh3ele						sh3ele-unknown-none
sh3-elf						sh3-unknown-elf
sh3le-elf					sh3le-unknown-elf
sh3						sh3-unknown-none
sh4aeb-elf					sh4aeb-unknown-elf
sh4aeb						sh4aeb-unknown-none
sh4a-elf					sh4a-unknown-elf
sh4eb-elf					sh4eb-unknown-elf
sh4-elf						sh4-unknown-elf
sh4le-elf					sh4le-unknown-elf
sh4						sh4-unknown-none
sh5el-elf					sh5le-unknown-elf
sh5el-netbsd					sh5le-unknown-netbsd
sh64-elf					sh64-unknown-elf
sh64le						sh64le-unknown-none
sh64						sh64-unknown-none
shbe-elf					shbe-unknown-elf
shbe						shbe-unknown-none
sheb-elf					sheb-unknown-elf
sheb						sheb-unknown-none
sh-elf						sh-unknown-elf
sh-elf						sh-unknown-elf
sh-hms						sh-hitachi-hms
shle-elf					shle-unknown-elf
shle						shle-unknown-none
sh						sh-unknown-none
sh						sh-unknown-none
sh-toppers					sh-unknown-toppers
simso-wrs					sparclite-wrs-vxworks
sparc64b-linux					sparc64b-unknown-linux-gnu
sparc64b					sparc64b-unknown-none
sparc64-linux					sparc64-unknown-linux-gnu
sparc64						sparc64-unknown-none
sparc64v-elf					sparc64v-unknown-elf
sparc64v-solaris2.9				sparc64v-unknown-solaris2.9
sparc64v					sparc64v-unknown-none
sparc86x					sparc86x-unknown-none
sparc-haiku					sparc-unknown-haiku
sparclet					sparclet-unknown-none
sparclite					sparclite-unknown-none
sparclite-wrs					sparclite-wrs-vxworks
sparc						sparc-sun-sunos4.1.1
sparcv8						sparcv8-unknown-none
sparcv9b					sparcv9b-unknown-none
sparcv9						sparcv9-unknown-none
sparcv9v-elf					sparcv9v-unknown-elf
sparcv9v-solaris2.9				sparcv9v-unknown-solaris2.9
sparcv9v					sparcv9v-unknown-none
spu-elf						spu-unknown-elf
spu-linux					spu-unknown-linux-gnu
spu						spu-unknown-elf
st2000						m68k-tandem-none
strongarm					arm-unknown-none
strongarm-none-elf				arm-none-elf
sun2						m68000-sun-sunos3
sun386						i386-sun-sunos4.0.2
sun386i						i386-sun-sunos4.0.2
sun3						m68k-sun-sunos4.1.1
sun4						sparc-sun-sunos4.1.1
sv1						sv1-cray-unicos
symmetry					i386-sequent-bsd
t3e						alphaev5-cray-unicos
t90						t90-cray-unicos
tahoe						tahoe-unknown-none
thumb						arm-unknown-none
thumb-none-elf					arm-none-elf
tic4x						tic4x-unknown-coff
tic54x-coff					tic54x-unknown-coff
tic54x-none-coff				tic54x-none-coff
tic54x						tic54x-unknown-coff
tic54x-unknown-coff				tic54x-unknown-coff
tic55x-coff					tic55x-unknown-coff
tic55x-none-coff				tic55x-none-coff
tic55x						tic55x-unknown-coff
tic55x-unknown-coff				tic55x-unknown-coff
tic6x-coff					tic6x-unknown-coff
tic6x-elf					tic6x-unknown-elf
tic6x-none-coff					tic6x-none-coff
tic6x-none-elf					tic6x-none-elf
tic6x						tic6x-unknown-coff
tic6x-uclinux					tic6x-unknown-uclinux
tic6x-unknown-coff				tic6x-unknown-coff
tic6x-unknown-elf				tic6x-unknown-elf
tic80						tic80-unknown-none
tile64						tile64-unknown-linux-gnu
tilegx-linux					tilegx-unknown-linux-gnu
tilegx						tilegx-unknown-linux-gnu
tilegx-unknown-linux				tilegx-unknown-linux-gnu
tile-linux					tile-unknown-linux-gnu
tile						tile-unknown-linux-gnu
tile-unknown-linux				tile-unknown-linux-gnu
tron						tron-unknown-none
ubicom32-elf					ubicom32-unknown-elf
ubicom32					ubicom32-unknown-none
unos						m68k-crds-unos
v850e1-elf					v850e1-unknown-elf
v850e1						v850e1-unknown-none
v850e2-elf					v850e2-unknown-elf
v850e2v3-elf					v850e2v3-unknown-elf
v850e2v3					v850e2v3-unknown-none
v850e2						v850e2-unknown-none
v850e-elf					v850e-unknown-elf
v850-elf					v850-unknown-elf
v850es-elf					v850es-unknown-elf
v850es						v850es-unknown-none
v850e						v850e-unknown-none
v850						v850-unknown-none
vax						vax-dec-ultrix4.2
visium-elf					visium-unknown-elf
visium						visium-unknown-none
vsta						i386-pc-vsta
wasm32						wasm32-unknown-none
we32k						we32k-att-sysv
x64						x86_64-pc-none
x64-linux					x86_64-pc-linux-gnu
x86_64-cygwin					x86_64-pc-cygwin
x86_64-dicos					x86_64-pc-dicos
x86_64-ericsson-dicos				x86_64-ericsson-dicos
x86_64-fuchsia					x86_64-pc-fuchsia
x86_64-glidix					x86_64-pc-glidix
x86_64-pc-ptx					x86_64-pc-ptx
x86_64-ptx					x86_64-pc-ptx
x86_64-redox					x86_64-pc-redox
x86_64-sortix					x86_64-pc-sortix
x86_64-unknown-ptx				x86_64-sequent-ptx
x86_64-windows					x86_64-pc-windows
x86						x86-unknown-none
xbox						i686-pc-mingw32
xc16x-elf					xc16x-unknown-elf
xc16x						xc16x-unknown-none
xgate						xgate-unknown-none
xps						xps100-honeywell-none
xps100						xps100-honeywell-none
xscale						arm-unknown-none
xscaleeb					armeb-unknown-none
xscaleeb-none-elf				armeb-none-elf
xscaleel					armel-unknown-none
xscaleel-none-elf				armel-none-elf
xscale-none-elf					arm-none-elf
xstormy16					xstormy16-unknown-none
xtensa_dc232b-linux				xtensa_dc232b-unknown-linux-gnu
xtensa-elf					xtensa-unknown-elf
xtensa-linux					xtensa-unknown-linux-gnu
xtensa						xtensa-unknown-none
z80-coff					z80-unknown-coff
z80						z80-unknown-none
z8k						z8k-unknown-none
